Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Nipsey Hussle,Victory Lap by Nipsey Hussle (Ft. Stacy Barthe),https://genius.com/Nipsey-hussle-victory-lap-lyrics," Woah-oh Woah-oh Woah-oh Like the beginning of  Mean  Streets, you could  Like the beginning of  Mean  Streets, you could Like the beginning of  Mean  Streets, you could I'm prolific, so gifted I'm the type that's gon' go get it, no kiddin' Breaking down a  Swisher front of your buildin' Sitting on the steps, feeling no feelings Last night, it was a cold killin' You gotta keep the devil in his hole, nigga But you know how it go, nigga I'm front line every time it's on, nigga Hunnid proof flow, run and shoot pro458 drop, playin' "" Bullet  Proof  Soul"" Every few shows,  I just buy some new gold Circle got smaller, everybody can't go Downtown,  Diamond  District, jewelers like, "" Yo Hussle, holla at me,  I got  Cubans on the low"" Flew to  Cancun, smokin'  Cubans on the boat Then docked at  Tulum just to smoke, look Listening to music at the  Mayan  Ruins True devotion on the bluest ocean, cruisin' My cultural influence even rival  Lucien I'm integrated vertically, y'all niggas blew it They tell me, "" Hussle, dumb it down, you might confuse 'em"" This ain't that weirdo rap you motherfuckers used to Like the beginning of  Mean  Streets I'm an urban legend,  South  Central in a certain section Can't express how  I curved detectives Guess it's evidence of a divine presence, blessings Held me down, at times,  I seem reckless,  F it You got an  L, but got an  E for effort, stretched him Dropped him off in the  Mojave desert, then left him Ain't no answer to these trick questions Money  Makin'  Nip, straighten out my jewelry on my bitch dresser Well known, flick up and jail pose Snatch a champagne bottle from  Rico's 'til  T show Whatever, nigga, playin' chess, not checkers, nigga Thirty-eight special for you clever niggas See, bro, if you ain't live and die by the street code Been through all these motions, up and down like a see-saw I can never view you as my equal Fuck  I wanna hear your  C D for?"
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Artist,Title,URL,Lyrics
Nipsey Hussle,Double Up by Nipsey Hussle (Ft. Belly & DOM KENNEDY),https://genius.com/Nipsey-hussle-double-up-lyrics," Double up Three or four times,  I ain't tellin' no lies,  I just run it up Never let a hard time humble us Double up I ain't tellin' no lies,  I just  I ain't tellin' no lies,  I just Five, four, three, two That's time  I got to you That money, my dreams come true My life in diamonds, who knew? Who knew? Who knew? Turned seven to a fourteen Fourteen to a whole thing Lord knows it's a cold game Switched up on you hoes, man Big body take both lanes Backseat, blowin' propane All-black, five gold chains Young rich nigga bossed up on his own, man My new shit sound like it's "" Soul  Train"" Tookie  Williams over  Coltrane Eric  B by the rope chain R S C, we for sure bang Tiny  Locs and they go crazy What you know about the dope game? Was you born in the '80s?  Did your mama smoke cocaine? Have you ever seen a whole thang? But you drove to the streets 'cause you grew up on short change? Fucked up when the dope age It remind me when these rappers drop duds and they quotes change Had the part with the low fade I would stand in front of  Nix with my sack for the whole day Drive-bys, that was road rage Then we park and hop out, learn levels to this whole thang Old school, play the  O' Jays Tryna make a slow change, mama still slavin' for a low wage Tryna"
